seuil_pente,seuil_ordonnee_a_l_origine,left_index_caracteristique1,right_index_caracteristique1,left_index_caracteristique2,right_index_caracteristique2,total_points_caracteristique1,total_points_caracteristique2,erreur
0.6,6.5,0,14,88,99,15,12,0.046979866
0.65,5.5,0,14,88,99,15,12,0.046979866
0.75,4,0,14,88,99,15,12,0.046979866
0.6,5,0,14,86,99,15,14,0.046979866
0.65,4.5,0,14,86,99,15,14,0.046979866
0.65,5.5,0,14,86,99,15,14,0.046979866
0.75,4,0,14,86,99,15,14,0.046979866
0.8,2.5,0,14,86,99,15,14,0.046979866
0.6,5,0,14,85,99,15,15,0.046979866
0.65,4.5,0,14,85,99,15,15,0.046979866
0.65,5.5,0,14,85,99,15,15,0.046979866
0.75,4,0,14,85,99,15,15,0.046979866
0.8,2.5,0,14,85,99,15,15,0.046979866
0.65,5.5,0,14,84,99,15,16,0.046979866
0.75,4,0,14,84,99,15,16,0.046979866
0.6,0.5,0,14,77,99,15,23,0.046979866
0.65,0,0,14,77,99,15,23,0.046979866
0.6,0.5,0,14,76,99,15,24,0.046979866
0.65,0,0,14,76,99,15,24,0.046979866
0.6,0.5,0,14,75,99,15,25,0.046979866
0.65,0,0,14,75,99,15,25,0.046979866
0.6,0,0,14,74,99,15,26,0.046979866
0.6,1,0,14,74,99,15,26,0.046979866
0.65,0,0,14,73,99,15,27,0.046979866
0.65,0,0,14,72,99,15,28,0.046979866
0.6,1,0,14,71,99,15,29,0.046979866
0.6,5.5,0,15,89,99,16,11,0.046979866
0.6,6,0,15,89,99,16,11,0.046979866
0.6,7.5,0,15,89,99,16,11,0.046979866
0.65,6,0,15,89,99,16,11,0.046979866
0.65,6.5,0,15,89,99,16,11,0.046979866
0.7,4.5,0,15,89,99,16,11,0.046979866
0.7,5.5,0,15,89,99,16,11,0.046979866
0.75,3.5,0,15,89,99,16,11,0.046979866
0.8,3,0,15,89,99,16,11,0.046979866
0.8,3.5,0,15,89,99,16,11,0.046979866
0.85,2.5,0,15,89,99,16,11,0.046979866
0.9,1.5,0,15,89,99,16,11,0.046979866
0.6,6.5,0,15,88,99,16,12,0.046979866
0.65,5.5,0,15,88,99,16,12,0.046979866
0.75,4,0,15,88,99,16,12,0.046979866
0.6,5,0,15,86,99,16,14,0.046979866
0.65,4.5,0,15,86,99,16,14,0.046979866
0.65,5.5,0,15,86,99,16,14,0.046979866
0.75,4,0,15,86,99,16,14,0.046979866
0.8,2.5,0,15,86,99,16,14,0.046979866
0.6,5,0,15,85,99,16,15,0.046979866
0.65,4.5,0,15,85,99,16,15,0.046979866
0.65,5.5,0,15,85,99,16,15,0.046979866
0.75,4,0,15,85,99,16,15,0.046979866
0.8,2.5,0,15,85,99,16,15,0.046979866
0.65,5.5,0,15,84,99,16,16,0.046979866
0.75,4,0,15,84,99,16,16,0.046979866
0.6,0.5,0,15,77,99,16,23,0.046979866
0.65,0,0,15,77,99,16,23,0.046979866
0.6,0.5,0,15,76,99,16,24,0.046979866
0.65,0,0,15,76,99,16,24,0.046979866
0.6,0.5,0,15,75,99,16,25,0.046979866
0.65,0,0,15,75,99,16,25,0.046979866
0.6,0,0,15,74,99,16,26,0.046979866
0.6,1,0,15,74,99,16,26,0.046979866
0.65,0,0,15,73,99,16,27,0.046979866
0.65,0,0,15,72,99,16,28,0.046979866
0.65,0,0,15,71,99,16,29,0.046979866
0.6,1,0,15,70,99,16,30,0.046979866
0.8,7.5,0,16,89,99,17,11,0.046979866
0.85,7,0,17,89,99,18,11,0.046979866
0.9,6,0,17,89,99,18,11,0.046979866
0.9,6.5,0,17,89,99,18,11,0.046979866
0.95,5.5,0,17,89,99,18,11,0.046979866
0.95,6.5,0,17,89,99,18,11,0.046979866
0.6,6.5,0,17,88,99,18,12,0.046979866
0.65,6.5,0,17,88,99,18,12,0.046979866
0.7,7,0,17,88,99,18,12,0.046979866
0.6,6.5,0,17,86,99,18,14,0.046979866
0.6,7.5,0,17,86,99,18,14,0.046979866
0.65,7,0,17,86,99,18,14,0.046979866
0.7,5.5,0,17,86,99,18,14,0.046979866
0.7,6.5,0,17,86,99,18,14,0.046979866
0.75,5.5,0,17,86,99,18,14,0.046979866
0.75,6,0,17,86,99,18,14,0.046979866
0.8,4,0,17,86,99,18,14,0.046979866
0.85,3,0,17,86,99,18,14,0.046979866
0.9,2,0,17,86,99,18,14,0.046979866
0.95,1,0,17,86,99,18,14,0.046979866
0.65,5.5,0,17,85,99,18,15,0.046979866
0.65,7,0,17,85,99,18,15,0.046979866
0.7,5.5,0,17,85,99,18,15,0.046979866
0.7,6.5,0,17,85,99,18,15,0.046979866
0.75,4,0,17,85,99,18,15,0.046979866
0.75,5.5,0,17,85,99,18,15,0.046979866
0.75,6,0,17,85,99,18,15,0.046979866
0.8,4,0,17,85,99,18,15,0.046979866
0.85,3,0,17,85,99,18,15,0.046979866
0.9,2,0,17,85,99,18,15,0.046979866
0.95,1,0,17,85,99,18,15,0.046979866
0.65,5.5,0,17,84,99,18,16,0.046979866
0.65,7,0,17,84,99,18,16,0.046979866
0.7,5.5,0,17,84,99,18,16,0.046979866
0.7,6.5,0,17,84,99,18,16,0.046979866
0.75,4,0,17,84,99,18,16,0.046979866
0.75,5.5,0,17,84,99,18,16,0.046979866
0.75,6,0,17,84,99,18,16,0.046979866
0.8,4,0,17,84,99,18,16,0.046979866
0.85,3,0,17,84,99,18,16,0.046979866
0.9,2,0,17,84,99,18,16,0.046979866
0.95,1,0,17,84,99,18,16,0.046979866
